data,temperature_2m_media,temperature_2m_maximo,temperature_2m_minimo,relative_humidity_2m_media,relative_humidity_2m_maximo,relative_humidity_2m_minimo,wind_speed_10m_media,wind_speed_10m_maximo,wind_speed_10m_minimo,shortwave_radiation_media,shortwave_radiation_maximo,shortwave_radiation_minimo,eto_hargreaves_mm_dia
2026-06-27,11.904166666666667,17.8,6.6,71.66666666666667,84,55,13.754166666666668,22.4,9.3,141.70833333333334,564.0,0.0,1.656193250199233
2026-06-28,14.166666666666666,17.2,9.0,87.79166666666667,99,72,13.691666666666668,23.8,6.2,50.541666666666664,220.0,0.0,1.5273368945327774
2026-06-29,7.195833333333333,10.9,5.0,91.875,100,76,4.3500000000000005,8.1,0.8,91.33333333333333,394.0,0.0,1.0147865737616995
2026-06-30,7.595833333333334,13.3,3.0,87.41666666666667,100,64,7.7,12.9,3.8,127.70833333333333,547.0,0.0,1.364949245145899
2026-07-01,10.720833333333333,14.6,7.4,92.79166666666667,99,78,11.0375,20.3,5.0,57.5,249.0,0.0,1.284461701037615
2026-07-02,8.058333333333334,10.6,4.0,84.91666666666667,98,66,17.041666666666668,20.8,12.8,48.0,252.0,0.0,1.117697942915335
2026-07-03,4.2,8.7,-0.8,78.58333333333333,91,65,12.799999999999999,21.0,6.3,122.33333333333333,539.0,0.0,1.143922508548439
2026-07-04,7.570833333333333,10.8,4.1,88.625,99,77,8.754166666666666,12.1,4.7,57.0,248.0,0.0,1.1110770665108802
2026-07-05,9.970833333333333,11.9,8.7,90.125,96,76,9.995833333333334,17.2,5.0,39.208333333333336,262.0,0.0,0.8431297148190884
2026-07-06,8.133333333333333,10.6,4.0,84.75,99,63,15.020833333333334,20.2,7.7,76.5,283.0,0.0,1.1345311808213274
2026-07-07,7.945833333333333,13.7,3.8,74.41666666666667,85,57,17.454166666666666,21.3,12.5,150.75,587.0,0.0,1.3844015699142453
2026-07-08,10.9375,17.1,6.9,66.66666666666667,76,45,13.954166666666666,19.3,2.9,147.58333333333334,573.0,0.0,1.57446238524176
2026-07-09,13.829166666666666,19.6,9.4,62.75,82,50,14.804166666666667,24.3,5.4,133.20833333333334,553.0,0.0,1.7398405679782514
2026-07-10,14.475,19.2,10.9,79.0,93,62,8.766666666666667,20.1,0.8,132.16666666666666,562.0,0.0,1.6082604437353099
2026-07-11,13.391666666666666,14.7,11.4,93.41666666666667,99,86,9.991666666666667,18.9,1.7,31.416666666666668,124.0,0.0,0.9843860582583771
2026-07-12,9.858333333333333,11.0,8.3,91.0,99,79,18.05,22.5,7.6,43.583333333333336,184.0,0.0,0.7932027051296653
2026-07-13,9.545833333333333,11.3,8.1,89.95833333333333,95,81,8.466666666666667,13.6,3.1,44.041666666666664,189.0,0.0,0.8578958719874286
2026-07-14,11.479166666666666,17.3,7.9,81.5,93,62,17.291666666666668,22.7,12.9,151.16666666666666,594.0,0.0,1.5822205686837423
2026-07-15,14.200000000000001,20.2,10.0,74.58333333333333,85,58,21.745833333333334,29.9,16.1,152.83333333333334,592.0,0.0,1.8107241344380345
2026-07-16,18.895833333333332,23.2,14.9,63.75,80,56,30.504166666666666,37.4,25.4,90.41666666666667,485.0,0.0,1.8831969277678986
2026-07-17,24.325,28.4,21.4,62.625,81,54,33.47083333333333,40.7,24.0,133.25,514.0,0.0,1.996385463176196
2026-07-18,19.375,23.5,17.6,92.0,99,75,20.658333333333335,33.4,2.6,47.083333333333336,340.0,0.0,1.6267608023337983
2026-07-19,17.733333333333334,19.1,16.6,92.33333333333333,98,88,23.366666666666664,41.1,8.5,34.333333333333336,211.0,0.0,1.018163465223575
2026-07-20,17.629166666666666,20.2,15.8,93.95833333333333,97,85,12.541666666666666,21.3,2.5,91.58333333333333,439.0,0.0,1.3549868667712228
2026-07-21,16.650000000000002,18.3,14.9,95.16666666666667,100,89,9.487499999999999,13.2,4.3,38.375,237.0,0.0,1.1654186536351359
2026-07-22,14.208333333333334,16.1,11.6,95.20833333333333,100,82,13.779166666666667,21.2,7.7,28.833333333333332,130.0,0.0,1.253704121700648
2026-07-23,12.608333333333334,16.3,10.1,83.91666666666667,99,61,14.320833333333333,18.5,9.3,102.83333333333333,433.0,0.0,1.4071856080886855
2026-07-24,13.0375,16.5,10.5,87.79166666666667,96,73,12.095833333333333,21.5,1.3,63.583333333333336,288.0,0.0,1.4132446675436685
2026-07-25,14.591666666666667,18.6,10.6,90.375,99,75,7.5249999999999995,15.4,1.3,84.625,345.0,0.0,1.7258405495056854
2026-07-26,16.337500000000002,18.7,14.1,92.375,100,84,7.895833333333333,20.6,0.9,62.166666666666664,328.0,0.0,1.3888351102677239
2026-07-27,16.866666666666667,19.5,14.3,95.79166666666667,100,86,14.3375,24.0,1.0,57.125,287.0,0.0,1.5101741901845862
